qid,no,doc,rel
1,0,clueweb12-0001wb-05-12311,0
1,0,clueweb12-1811wb-62-08424,1
1,0,clueweb12-1811wb-62-08423,1
1,0,clueweb12-1217wb-47-14048,0
1,0,clueweb12-1811wb-62-08425,1
1,0,clueweb12-1811wb-62-08422,1
1,0,clueweb12-1811wb-62-08418,1
1,0,clueweb12-1214wb-88-29751,2
1,0,clueweb12-0307wb-05-31620,0
1,0,clueweb12-1500wb-68-15142,0
1,0,clueweb12-1809wb-33-13145,1
1,0,clueweb12-1311wb-38-04762,0
1,0,clueweb12-1400tw-53-02910,2
1,0,clueweb12-1217wb-96-18723,2
1,0,clueweb12-0201wb-90-06213,0
1,0,clueweb12-1801wb-11-09209,2
1,0,clueweb12-0000tw-38-17144,0
1,0,clueweb12-1811wb-62-08421,1
1,0,clueweb12-1011wb-45-12560,1
1,0,clueweb12-0010wb-73-33601,1
1,0,clueweb12-0200wb-79-18105,2
1,0,clueweb12-0302wb-89-23775,0
1,0,clueweb12-0008wb-39-25310,1
1,0,clueweb12-0412wb-04-03887,0
1,0,clueweb12-0506wb-26-02303,0
1,0,clueweb12-0109wb-11-16978,0
1,0,clueweb12-0200tw-85-01106,2
1,0,clueweb12-1101tw-17-19058,0
1,0,clueweb12-0311wb-28-00236,1
1,0,clueweb12-0005wb-10-28805,2
1,0,clueweb12-1509wb-86-01499,0
1,0,clueweb12-0702wb-60-07189,1
1,0,clueweb12-0100tw-25-14783,0
1,0,clueweb12-1010wb-16-00261,0
2,0,clueweb12-1612wb-49-30112,2
2,0,clueweb12-1200tw-86-17676,0
2,0,clueweb12-1806wb-38-15621,2
2,0,clueweb12-1714wb-90-02429,2
2,0,clueweb12-1913wb-30-36234,2
2,0,clueweb12-1313wb-37-07544,2
2,0,clueweb12-1615wb-10-13858,2
2,0,clueweb12-0704wb-18-35081,1
2,0,clueweb12-0907wb-60-03588,2
2,0,clueweb12-0001wb-84-26550,2
2,0,clueweb12-1306wb-95-29881,1
2,0,clueweb12-0109wb-28-26419,2
2,0,clueweb12-0109wb-23-31617,2
2,0,clueweb12-1516wb-62-16691,2
2,0,clueweb12-1201tw-18-01435,1
2,0,clueweb12-1414wb-85-24273,1
2,0,clueweb12-1614wb-51-15553,2
2,0,clueweb12-0111wb-86-20467,1
2,0,clueweb12-0411wb-06-17832,0
2,0,clueweb12-0605wb-17-00760,1
2,0,clueweb12-0608wb-66-03868,2
2,0,clueweb12-0701wb-07-12349,0
2,0,clueweb12-0106wb-55-34754,1
2,0,clueweb12-0013wb-19-15392,2
2,0,clueweb12-0205wb-01-05763,2
2,0,clueweb12-0401wb-86-26269,2
2,0,clueweb12-0411wb-54-19556,0
2,0,clueweb12-0505wb-78-06026,2
2,0,clueweb12-0205wb-35-01034,1
2,0,clueweb12-1412wb-03-18627,2
2,0,clueweb12-1806wb-97-03726,0
2,0,clueweb12-1101wb-51-27099,1
2,0,clueweb12-0306wb-77-05626,2
3,0,clueweb12-1800tw-31-21198,0
3,0,clueweb12-0005wb-51-26372,1
3,0,clueweb12-1503wb-77-17012,1
3,0,clueweb12-1315wb-32-19983,1
3,0,clueweb12-1800tw-07-24524,2
